Feature,Importance
muscle_pain,0.02070468736413226
joint_pain,0.0200631308512486
fatigue,0.01908359735416014
vomiting,0.01827014186667721
high_fever,0.017511991534360272
yellowing_of_eyes,0.01747218708086985
itching,0.01688120667685475
mild_fever,0.01677789425269104
loss_of_appetite,0.016083940123256982
headache,0.015812340619574414
abdominal_pain,0.015497534539760303
nausea,0.015059405312571857
dark_urine,0.014969835166144713
weight_loss,0.013967194859003995
chills,0.013739131751979727
yellowish_skin,0.0133117562990697
diarrhoea,0.01312113191038116
red_spots_over_body,0.012945941385867027
malaise,0.012724110011700158
constipation,0.012477850666343753
indigestion,0.012152874444059093
coma,0.011548316240824941
family_history,0.01094169676970428
chest_pain,0.010579041547336568
cough,0.010445426442617513
sweating,0.010288009713586852
back_pain,0.01009498887783033
pain_behind_the_eyes,0.010071384343314393
irritability,0.010051449757922448
visual_disturbances,0.009974491371559514
fluid_overload.1,0.009920548316607887
skin_rash,0.00984691235600994
stomach_bleeding,0.009634198995424328
stomach_pain,0.009542316076573121
rusty_sputum,0.009505076215420204
fast_heart_rate,0.00934739405304655
dizziness,0.009291930171454365
bladder_discomfort,0.009112340314928342
increased_appetite,0.008940906663527504
blood_in_sputum,0.008562866791916481
loss_of_balance,0.008467671549614997
extra_marital_contacts,0.008427149727756086
breathlessness,0.008379750761753964
prominent_veins_on_calf,0.008345611231537948
muscle_weakness,0.008257195828855443
weakness_of_one_body_side,0.00814197717311371
abnormal_menstruation,0.008137735277527874
movement_stiffness,0.008062084495776018
inflammatory_nails,0.008028327351426424
phlegm,0.007934170121261918
mucoid_sputum,0.007891071673165724
ulcers_on_tongue,0.007854085706072217
blurred_and_distorted_vision,0.007811844519369369
polyuria,0.007556251391675964
pus_filled_pimples,0.007443241972500877
yellow_urine,0.0073280663839576056
unsteadiness,0.0072406291694409475
lethargy,0.007201459967762748
toxic_look_(typhos),0.007175896141769675
restlessness,0.007128876344937153
excessive_hunger,0.006903717733103807
anxiety,0.006724258082903073
depression,0.006664281920275123
neck_pain,0.006648526795107182
swelled_lymph_nodes,0.006621141541407363
Heartburn,0.006594407111192271
stiff_neck,0.006490540649224087
bloody_stool,0.006417797563717845
belly_pain,0.006413608368463688
spinning_movements,0.006355519457360995
continuous_sneezing,0.006301064435378033
palpitations,0.006164926252613299
receiving_unsterile_injections,0.00610216323891232
burning_micturition,0.006101984799914733
red_sore_around_nose,0.00602281234084917
lack_of_concentration,0.006006332449938544
acidity,0.00597110997517482
spotting_ urination,0.0059357451107734
receiving_blood_transfusion,0.005891701195344771
weakness_in_limbs,0.00587549896178678
dischromic _patches,0.00567866365079504
painful_walking,0.005569988036301709
slurred_speech,0.005452566081817303
swelling_joints,0.005365735235735549
hip_joint_pain,0.0052366871849873035
small_dents_in_nails,0.005235940076516811
internal_itching,0.00520470963889878
yellow_crust_ooze,0.005141997127160598
blister,0.004981250683872942
knee_pain,0.0049750083158685765
passage_of_gases,0.004874833552035734
silver_like_dusting,0.004823689625696549
acute_liver_failure,0.004795631396701489
mood_swings,0.004787276816227914
swollen_extremeties,0.00461579496549392
swelling_of_stomach,0.004586215619870345
shivering,0.004564359935097748
brittle_nails,0.004427441093552651
redness_of_eyes,0.00441053425092427
dehydration,0.004286304167178093
runny_nose,0.004283552671077619
nodal_skin_eruptions,0.004244742549827144
history_of_alcohol_consumption,0.004204556174652432
congestion,0.004019063258544991
sunken_eyes,0.003928985233240222
swollen_blood_vessels,0.0037257099306169405
obesity,0.0037213337050571046
watering_from_eyes,0.0037057409225543314
swollen_legs,0.003691610716769584
cramps,0.003613152930519434
altered_sensorium,0.0036106534050489225
sinus_pressure,0.0035151781117814503
blackheads,0.0034641265291411997
scurring,0.0032975130191377298
pain_during_bowel_movements,0.0032268866138897277
throat_irritation,0.0031929959210767983
skin_peeling,0.0031878882453503067
foul_smell_of urine,0.003172242028100081
weight_gain,0.0030564894124199553
pain_in_anal_region,0.0030517733609885024
loss_of_smell,0.0030262568736097806
bruising,0.0030081941356765868
drying_and_tingling_lips,0.00283554379548355
enlarged_thyroid,0.0028050134912944486
distention_of_abdomen,0.0026603041138695653
irritation_in_anus,0.0025595924873156374
irregular_sugar_level,0.002558832801115175
patches_in_throat,0.002407078314141999
muscle_wasting,0.0024032434947227612
continuous_feel_of_urine,0.0023109045034474945
cold_hands_and_feets,0.0015878933533678824
puffy_face_and_eyes,0.001560906578396754
fluid_overload,0.0
Urinating_a_lot,0.0
