Model,Accuracy,Precision,Recall / Sensitivity,Specificity,F1-Score
Logistic Regression,100.0,100.0,100.0,100.0,100.0
Random Forest,100.0,100.0,100.0,100.0,100.0
Gaussian Naive Bayes,98.38709677419355,99.1869918699187,98.78048780487805,99.95934959349594,98.69918699186992
XGBoost,98.38709677419355,99.1869918699187,98.78048780487805,99.95934959349594,98.69918699186992
SVM,96.7741935483871,95.93495934959348,96.34146341463415,99.91869918699187,95.77235772357723
